link,headline,category,short_description,authors,date
https://www.huffpost.com/entry/jerry-allison-buddy-holly-drummer-dead-at-82_n_6304ff3ae4b00c150d65387e,"Jerry Allison, Buddy Holly's Drummer, Dead At 82",ENTERTAINMENT,The Rock & Roll Hall of Fame member also co-wrote classic songs like “That’ll Be the Day” and “Peggy Sue.”,David Moye,8/23/2022
https://www.huffpost.com/entry/andrew-garfield-method-acting_n_6304fcd2e4b0e323a2594a04,Andrew Garfield Confirms Method Acting Is Possible Without 'Being An Asshole',ENTERTAINMENT,The actor revealed he abstained from sex for months and starved himself to prepare for a role.,Cole Delbyck,8/23/2022
https://www.huffpost.com/entry/rusty-bowers-trump-giuiani-gop-election-coup-arizona_n_630405b8e4b0e323a257fcd2,Rusty Bowers Rips 'Fascism' Of GOP And Trump's Strong-Arm Tactics To Trash Vote,POLITICS,"""I haven’t been hanged yet,"" the Arizona GOP leader told The Guardian in a powerful interview. ""But holy moly, this is just crazy. The place has lost its mind.”",Mary Papenfuss,8/23/2022
https://www.huffpost.com/entry/after-delay-biden-readies-student-loan-help-payment-pause_n_63054fc1e4b00c150d65c210,"After Delay, Biden Readies Student Loan Help, Payment Pause",POLITICS,The precise details of President Joe Biden’s plan were being kept to an unusually small circle within the Biden administration.,"Seung Min Kim, Michael Balsamo and Chris Megerian, AP",8/23/2022
https://www.huffpost.com/entry/child-care-paid-leave-inflation-reduction-act_n_630197cae4b0f7df9bb1045e,This Is The Bittersweet Part Of Democrats' Sweet Legislative Victory,POLITICS,"Democrats were on the cusp of transforming paid leave, child care and home care. Now they're figuring out where they came up short — and when they might get the opportunity to try again.",Jonathan Cohn,8/22/2022
https://www.huffpost.com/entry/prince-andrew-satirical-musical_n_63037be8e4b035629bfcbe26,UK Broadcaster To Air Satirical Musical On Prince Andrew,WORLD NEWS,The 60-minute program described as a “satirical send-up of the life and times” of the duke set to a musical score.,,8/22/2022
https://www.huffpost.com/entry/columbus-teachers-union-on-strike_n_6303c25ce4b052615d73b2bd,Teachers In Ohio's Largest School District Go On Strike,POLITICS,Classes are scheduled to resume in just two days.,,8/22/2022
https://www.huffpost.com/entry/russia-ukraine-war-deaths_n_6303a700e4b0e323a2578a86,"Ukraine: 9,000 Of Its Troops Killed Since Russia Began War",WORLD NEWS,The Russian invasion of Ukraine began on Feb. 24.,"HANNA ARHIROVA, AP",8/22/2022
https://www.huffpost.com/entry/jennifer-granholm-gas-prices_n_630370e2e4b035629bfca7ed,"Gas Prices Are Falling, But Global Events Could Cause Increase, Energy Secretary Warns",POLITICS,Jennifer Granholm said the U.S. will produce a record amount of oil next year.,Marita Vlachou,8/22/2022
https://www.huffpost.com/entry/police-file-terrorism-charges-against-pakistans-ex-premier-imran-khan_n_63034c88e4b052615d730757,Police File Terrorism Charges Against Pakistan's Ex-Premier Imran Khan,WORLD NEWS,The charges accuse Khan of threatening police officers and a judge under the country’s sedition act.,"Munir Ahmed, AP",8/22/2022
https://www.huffpost.com/entry/united-states-minneapolis-teacher-layoff-policy_n_63027570e4b0f7df9bb15459,Minneapolis Teacher Contract Race Language Ignites Firestorm,EDUCATION,"When Minneapolis teachers settled a 14-day strike earlier this year, they celebrated a groundbreaking provision in their new contract that was meant to shield teachers of color from traditional seniority-based layoffs.","Steve Karnowski, AP",8/21/2022
https://www.huffpost.com/entry/native-hawaiians-sacred-mauna-kea-summit-astronomers_n_6301aa27e4b0e323a25633e6,Hawaii Seeking End To Conflict Over Astronomy On Sacred Mountain,U.S. NEWS,Native Hawaiians will now have more say over use of sacred Mauna Kea summit by scientists.,"AUDREY McAVOY, AP",8/21/2022
https://www.huffpost.com/entry/lost-wedding-ring-found-new-hampshire-beach_n_63025fc6e4b035629bfbeba5,Metal-Detecting Stranger Retrieves Woman’s Ring Lost In Sea,U.S. NEWS,"Francesca Teal's plea for help on Facebook got the attention of a local man who spent more than two days searching the water with a wetsuit, headlamp and metal detector.",,8/21/2022
https://www.huffpost.com/entry/leon-vitali-stanley-kubricks-right-hand-man-dies-at-74_n_6302933fe4b0f72c09d87216,"Leon Vitali, Stanley Kubrick’s Right-Hand Man, Dies At 74",ENTERTAINMENT,"Leon Vitali, the “Barry Lyndon” actor who became one of Stanley Kubrick’s closest associates, has died.","Lindsey Bahr, AP",8/21/2022
https://www.huffpost.com/entry/dragon-ball-super-bests-beast-at-box-office-with-201m_n_63026acfe4b052615d72825f,‘Dragon Ball Super’ Bests ‘Beast’ At Box Office With $20.1M,ENTERTAINMENT,"Idris Elba may go head-to-head with a lion in “Beast,” but the action flick was no match for the latest “Dragon Ball” movie.","Lindsey Bahr, AP",8/21/2022
https://www.huffpost.com/entry/parkland-school-nikolas-cruz-defense-case_n_630264c1e4b0f72c09d8626e,Defense In Parkland School Shooter’s Trial Set To Present Its Case,U.S. NEWS,Nikolas Cruz's attorneys on Monday will present why the 23-year-old carried out the attack and make a case for life in prison instead of death.,,8/21/2022
https://www.huffpost.com/entry/bc-us-voting-rights-georgia_n_6300ef0ae4b052615d720564,"Judge Won't Block Georgia Ban On Bringing Food, Water To Voters In Line",POLITICS,Voting rights groups are dismayed about a ruling that upholds a ban on giving drinks and snacks to people waiting to vote.,"Kate Brumback, AP",8/20/2022
https://www.huffpost.com/entry/trans-woman-parent-japanese-court_n_630066e2e4b00c150d61b12d,"Trans Woman Can't Be Considered Parent Of Her Own Child, Rules Tokyo Court",WORLD NEWS,The court said the woman is the legal parent of a daughter born before her transition but not one who was born afterward.,Mary Papenfuss,8/20/2022
https://www.huffpost.com/entry/dorli-rainey-symbol-of-occupy-movement-dies-at-95_n_63015837e4b00c150d620b37,"Dorli Rainey, Symbol Of Occupy Movement, Dies At 95",U.S. NEWS,"The Seattle activist turned out for racial justice, affordable housing and anti-war demonstrations over the years.",,8/20/2022
https://www.huffpost.com/entry/pence-says-did-not-take-classified-material_n_6300e9ece4b0f7df9bb0d29a,Mike Pence Says He Did Not Take Classified Documents When He Left Office,POLITICS,The former vice president made the disclosure after FBI agents seized classified and top secret documents from Donald Trump's Florida home.,"Thomas Beaumont, AP",8/20/2022
https://www.huffpost.com/entry/wendys-lettuce-e-coli_n_6300e701e4b0f72c09d7e594,Wendy's Pulls Lettuce From Sandwiches After Dozens Fall Sick From E. Coli,U.S. NEWS,"The fast-food chain Wendy’s says it is pulling lettuce from sandwiches in its restaurants in Michigan, Ohio and Pennsylvania after people eating them there reported falling ill.",,8/20/2022
https://www.huffpost.com/entry/video-alligator-attacking-florida-man-lake_n_62ff02cae4b071ea958e4f55,Shocking Drone Video Shows Alligator Attacking Florida Man,U.S. NEWS,The gator's bite was enough to crush a portion of the man's skull and break his jaw.,Ben Blanchet,8/19/2022
https://www.huffpost.com/entry/chest-pain-heart-signs-symptoms_l_6283e7aee4b003ed29678afa,How To Tell If Your Chest Pain Is A Heart Problem,WELLNESS,Concerned your chest pain might be heart-related? Look for these signs to know what you're dealing with — and whether you need reach out to your doctor ASAP.,Ashley Broadwater,8/19/2022
https://www.huffpost.com/entry/mitch-mcconnell-gop-senate-midterms_n_62ff545de4b071ea958ebfd3,Mitch McConnell Gives Downbeat Forecast On GOP Winning Senate,POLITICS,"The Senate GOP leader cited ""candidate quality"" as a factor in whether Republicans can win control in the November election.",Marita Vlachou,8/19/2022
https://www.huffpost.com/entry/vanessa-bryant-testimony-kobe-bryant-crash-photos_n_62fff99be4b00c150d617da3,Vanessa Bryant Says Kobe Bryant Crash Photos Turned Grief To Horror,SPORTS,"Bryant's widow testified that she ""lives in fear every day"" that the photos of her husband's death will pop up on social media.","Andrew Dalton, AP",8/19/2022
https://www.huffpost.com/entry/young-thug-denied-bond-gunna-gang-case_n_62ff15eae4b071ea958e5cee,Rapper Young Thug Again Denied Bond In Racketeering And Gang Case,ENTERTAINMENT,"Young Thug, along with rapper Gunna, are one of dozens of men charged in a Georgia racketeering and gang case.",,8/19/2022
https://www.huffpost.com/entry/media-to-ask-judge-to-release-trump-search-warrant-affidavit_n_62fdf830e4b0638948305107,Media To Ask Judge To Release Trump Search Warrant Affidavit,POLITICS,"""The matter is one of utmost public interest, involving the actions of current and former government officials,” wrote an attorney some of the media companies.","Terry Spencer, AP",8/18/2022
https://www.huffpost.com/entry/state-dept-saudi-woman-sentence-twitter_n_62fe1273e4b0a85a819925e6,State Dept. 'Studying' 34-Year Sentence Of Saudi Woman Over Twitter Use,WORLD NEWS,Salma al-Shehab received the lengthy prison sentence for following accounts and retweeting posts critical of the Kingdom on Twitter.,Marita Vlachou,8/18/2022
https://www.huffpost.com/entry/monkeybox-lgbtq-pride-events_n_62fea739e4b0c8c57f5a4cc8,"LGBTQ Pride Events Will Have Priority Access To Monkeypox Vaccines, Health Officials Say",U.S. NEWS,"An extra 50,000 vaccine doses will be made available in cities like Atlanta and New Orleans, where Pride celebrations are scheduled later this year.","Mike Stobbe, AP",8/18/2022
https://www.huffpost.com/entry/trump-org-cfo-to-plead-guilty-testify-against-company_n_62fd866ce4b0a85a8198706b,"Trump Org. CFO To Plead Guilty, Testify Against Company",CRIME,Allen Weisselberg is charged with taking more than $1.7 million in off-the-books compensation from the Trump Organization over several years.,"Michael R. Sisak, AP",8/18/2022
https://www.huffpost.com/entry/bc-fbn-browns-watson-settlement_n_62fe63d1e4b0f48a020547b2,Deshaun Watson Settles With NFL For 11-Game Suspension,SPORTS,The Cleveland Browns quarterback was accused of sexual misconduct by two dozen women while he played for the Houston Texans.,"Rob Maadi and Tom Withers, AP",8/18/2022
https://www.huffpost.com/entry/mike-tyson-hulu-authorized-biopics_n_62fbb417e4b077bb77a63183,'Mike' And The Flawed Allure Of Authorized Biopics,CULTURE & ARTS,Celebrity-endorsed biographies have long been considered the gold standard — but that doesn’t take into consideration how curated they can be.,Candice Frederick,8/18/2022
https://www.huffpost.com/entry/deshaun-watson-browns-nfl_n_62fd2a47e4b0a85a81981a14,Talks On Possible Watson Settlement Progress,SPORTS,Two people familiar with the negotiations tell the AP that talks between the NFL and NFL Players Association on a discipline settlement for Cleveland Browns quarterback Deshaun Watson have progressed.,"Rob Maaddi and Tom Withers, AP",8/17/2022
https://www.huffpost.com/entry/cdc-rochelle-walensky-reset_n_62fd1241e4b0f48a02037714,CDC Director To Overhaul Agency With COVID Shortcomings In Mind,POLITICS,"Rochelle Walensky announced a ""reset"" for the organization amid public criticisms over its response to the coronavirus and monkeypox.","Mike Stobbe, AP",8/17/2022
https://www.huffpost.com/entry/general-motors-seatbelt-issue-recall_n_62fc7a97e4b0f48a02027959,"General Motors Recalls Over 484,000 Vehicles Over 'Improperly'-Formed Seat Belts",U.S. NEWS,The automaker said it isn't aware of any crashes or injuries as a result of the seat belts.,,8/17/2022
https://www.huffpost.com/entry/2022-election-planned-parenthood_n_62fcb4c9e4b071ea958b347c,Planned Parenthood To Spend Record $50 Million For Midterms,POLITICS,The nation's leading reproductive health care provider is pouring money into contests where access to abortion will be on the ballot.,"Brian Slodysko, AP",8/17/2022
https://www.huffpost.com/entry/former-congressman-arrested-fraud-charges_n_62fc4a8ee4b0c8c57f56fc2d,"Former California Congressman Charged After 'Multiple Fraud Schemes,' Feds Say",U.S. NEWS,"Terrance ""T.J."" Cox, a Democrat, represented the 21st Congressional District from January 2019 to January 2021.",,8/17/2022
https://www.huffpost.com/entry/syria-denies-it-is-holding-american-journalist-austin-tice_n_62fcb9dae4b06389482ea692,Syria Denies It Is Holding American Journalist Austin Tice,WORLD NEWS,"President Joe Biden accused the Syrian government of detaining Austin Tice, who has been missing for 10 years.",,8/17/2022
https://www.huffpost.com/entry/nba-election-day-games_n_62fbd822e4b0a85a81969b0b,NBA Won't Host Election Day Games In Effort To Increase Voter Turnout,POLITICS,"For many Americans living in states with strict voter suppression laws, Election Day is their only chance to cast a ballot.",Lydia O'Connor,8/16/2022
https://www.huffpost.com/entry/monkeypox-dog-france_n_62fb405ee4b0a85a8195999e,Dog Catches Monkeypox In France In First Suspected Human-To-Pet Transmission,U.S. NEWS,"“Our findings should prompt debate on the need to isolate pets from monkeypox virus-positive individuals,” researchers wrote.",Nick Visser,8/16/2022
https://www.huffpost.com/entry/denver-broncos-diversity-nfl_n_62fae8f7e4b0f48a0200e812,The Denver Broncos’ Historic Purchase Could Increase Number Of Minority-Owned NFL Teams,SPORTS,"Broncos quarterback Russell Wilson said the new ownership group, which includes two Black women, was a major move for diversity in the NFL.",Andre Ellington,8/16/2022
https://www.huffpost.com/entry/bc-eu-britain-scotland-period-products_n_62fbd14de4b077bb77a6591d,New Law Makes Period Products Free For All In Scotland,WORLD NEWS,"The Period Products Act says that schools, universities and government buildings must make tampons and pads available for free in bathrooms.",,8/16/2022
https://www.huffpost.com/entry/tiger-woods-golf-player-meeting_n_62fbeafae4b077bb77a6703c,Tiger To Meet With Top Players Against LIV Golf,SPORTS,The PGA Tour is in Delaware for the first time and so is Tiger Woods.,"Doug Ferguson, AP",8/16/2022
https://www.huffpost.com/entry/afghanistan-taliban-year-anniversary-poverty-womens-no-rights_n_62fb0efbe4b077bb77a53c99,Afghanistan Marks One-Year Anniversary Since Taliban Takeover,WORLD NEWS,Poverty is spiking and women's rights have been decimated.,"Rahim Faiez and Ebrahim Noroozi, AP",8/16/2022
https://www.huffpost.com/entry/georgia-election-investigation-lindsey-graham_n_62fa5353e4b0da517efa33cc,"Lindsey Graham Must Testify In Georgia Election Probe, Judge Says",POLITICS,Graham had argued that a provision of the Constitution provides absolute protection against a senator being questioned about legislative acts.,"KATE BRUMBACK, AP",8/15/2022
https://www.huffpost.com/entry/robyn-griggs-dead-actor_n_62f9a1c5e4b0da517ef9a053,'Another World' Soap Star Robyn Griggs Dies At 49,ENTERTAINMENT,"The actor, known for her roles in “Another World” and “One Life to Live,” had previously revealed a cervical cancer diagnosis.",Josephine Harvey,8/15/2022
https://www.huffpost.com/entry/six-flags-great-america-shooting-chicago_n_62f9e04ae4b0ab35e0b4353a,3 Injured In Shooting At Six Flags Great America Park Near Chicago,U.S. NEWS,"Three people were hurt in a parking lot outside Six Flags Great America in Gurnee, Illinois when shots were fired from a vehicle,",,8/15/2022
https://www.huffpost.com/entry/iran-denies-involvement-but-justifies-salman-rushdie-attack_n_62fa275ee4b095e78881df24,Iran Denies Involvement But Justifies Salman Rushdie Attack,WORLD NEWS,"While Iran hasn’t focused on the writer in recent years, a decades-old fatwa demanding his killing still stands.","Jon Gambrell, AP",8/15/2022
https://www.huffpost.com/entry/lawyers-appeal-brittney-griners-russian-prison-sentence_n_62fa1bb7e4b045e6f6aef6fb,Lawyers Appeal Brittney Griner's Russian Prison Sentence,WORLD NEWS,Lawyers for the American basketball star said after Griner's conviction that the sentence was excessive.,"Jim Heintz, AP",8/15/2022
https://www.huffpost.com/entry/r-kelly-federal-trial-chicago_n_62fa152ae4b0526eaeec1a87,Jury Selection In R. Kelly Federal Trial To Begin In Chicago,U.S. NEWS,The R&B singer faces charges that he rigged his 2008 state child pornography trial.,"Michael Tarm, AP",8/15/2022
https://www.huffpost.com/entry/israel-palestinian-gunman-jerusalem-shooting_n_62f8e0a5e4b0288b61a569f9,Palestinian Gunman Wounds 8 In Late-Night Jerusalem Shooting,WORLD NEWS,The attack in Jerusalem followed a tense week between Israel and Palestinians in Gaza and the West Bank.,"Ilan Ben Zion, AP",8/14/2022
https://www.huffpost.com/entry/bullet-train-repeats-no-1-top-gun-flies-back-up-ranks_n_62f93c87e4b045e6f6ae80ea,‘Bullet Train’ Repeats No. 1; ‘Top Gun’ Flies Back Up Ranks,ENTERTAINMENT,The Brad Pitt action film “Bullet Train” led all movies in ticket sales for a second straight weekend.,"Jake Coyle, AP",8/14/2022
https://www.huffpost.com/entry/egypt-cairo-coptic-church-fire_n_62f8deade4b045e6f6ae64b6,Officials: Fire At Coptic Church In Cairo Kills 41,WORLD NEWS,It was one of the worst fire tragedies in Egypt in recent years.,"Samy Magdy, AP",8/14/2022
https://www.huffpost.com/entry/possible-meteor-explosive-boom-utah_n_62f85394e4b0da517ef92777,Don't Look Up! A Possible Meteor Causes Loud 'Boom' Sound In Utah,U.S. NEWS,The National Weather Service's Salt Lake City office wrote that it likely picked up the meteor's trail.,,8/14/2022
https://www.huffpost.com/entry/salman-rushdie-recover_n_62f90817e4b0288b61a57374,"Salman Rushdie 'On The Road To Recovery,' Agent Says",WORLD NEWS,The author's agent said he is “on the road to recovery” two days after suffering serious injuries in a stabbing at a lecture in upstate New York.,"HILLEL ITALIE and CAROLYN THOMPSON, AP",8/14/2022
https://www.huffpost.com/entry/fish-dead-uc-california-davis_n_62f81d09e4b095e78880f0e5,"'Catastrophic Failure' At Research Center Kills About 21,000 Fish",ENVIRONMENT,"University of California, Davis is investigating what led to the deaths of tens of thousands of fish, including chinook salmon.",Hilary Hanson,8/13/2022
https://www.huffpost.com/entry/parents-arrested-arizona-school-lockdown_n_62f71988e4b0ab35e0b338e8,Parents Arrested After Attempting To Grab Their Children During School Lockdown,U.S. NEWS,Police reportedly used stun guns on at least two parents who arrived for their kids after reports of an armed man on a school campus.,Ben Blanchet,8/13/2022
https://www.huffpost.com/entry/kyrsten-sinema-campaign-donations_n_62f7c515e4b0526eaeeb1df9,Sinema Took Wall Street Money While Killing Tax On Investors,POLITICS,"Democratic Sen. Kyrsten Sinema of Arizona has received nearly $1 million in campaign contributions over the past year from private equity professionals, hedge fund managers and venture capitalists whose interests she has staunchly defended in Congress.","Brian Slodysko, AP",8/13/2022
https://www.huffpost.com/entry/nfl-player-panthers-stops-fight_n_62f749dde4b0ab35e0b34afc,Video Shows NFL Player Hopping Into Stands To Stop Fighting Fans,SPORTS,"D.J. Moore's cameo took place during ""Fan Fest,"" an event organized by the Carolina Panthers.",Ben Blanchet,8/13/2022
https://www.huffpost.com/entry/police-seek-motive-in-salman-rushdie-stabbing-as-author-remains-hospitalized_n_62f7ac8fe4b0288b61a4ee98,Suspect In Rushdie Stabbing Pleads Not Guilty As Author Remains Hospitalized,U.S. NEWS,The suspect has been identified as 24-year-old New Jersey man Hadi Matar.,"Carolyn Thompson and Hillel Italie, AP",8/13/2022
https://www.huffpost.com/entry/bc-eu-poland-germany-polluted-river_n_62f7bbdce4b0ab35e0b36f5a,'Shocking' Fish Die-Off Sends Poland Scrambling To Determine Source,ENVIRONMENT,"Polish Prime Minister Mateusz Morawiecki suspects ""“huge amounts of chemical waste"" were dumped into the country's second largest river.",,8/13/2022
https://www.huffpost.com/entry/deshuan-watson-apologize-to-women-ive-impacted_n_62f6e154e4b0da517ef8ae9c,Cleveland Browns QB Deshaun Watson Apologizes ‘To All The Women I Have Impacted’,SPORTS,The QB has been accused by two dozen women of sexual misconduct during massage therapy sessions.,"Tom Withers, AP",12/8/2022
https://www.huffpost.com/entry/over-2-billion-announced-for-roads-bridges-bike-lanes-across-us_n_62f6140be4b0da517ef78267,"Over $2 Billion Announced For Roads, Bridges, Bike Lanes Across U.S.",POLITICS,Numerous transportation projects across the U.S. will be getting a slice of $2.2 billion of new federal funding.,"Terry Tang and David A. Lieb, AP",12/8/2022
https://www.huffpost.com/entry/polio-detected-in-nyc-sewage-suggesting-virus-circulating_n_62f66a1be4b0526eaeea4348,"Polio Detected In NYC's Sewage, Suggesting Virus Circulating",U.S. NEWS,Health officials say the virus that causes polio has been detected in New York City’s wastewater weeks after a case of polio was identified north of the city.,,12/8/2022
https://www.huffpost.com/entry/inflation-reduction-act-analysis_n_62f5bdcbe4b0288b61a325d0,Democrats’ Inflation Reduction Act Expected To Do Little To Reduce Inflation,POLITICS,"The bill was also touted as lowering the deficit, but by how much is uncertain.",Jonathan Nicholson,12/8/2022
https://www.huffpost.com/entry/cdc-covid-19-quarantine-social-distancing-rules_n_62f55ed7e4b0526eaee8fe8c,"CDC Drops Some Quarantine, Screening Recommendations For COVID-19",U.S. NEWS,"So long, social distancing.","MIKE STOBBE and COLLIN BINKLEY, AP",11/8/2022
https://www.huffpost.com/entry/wisconsin-police-wild-turkey-chase_n_62f4951ee4b0288b61a18acc,Feathers Fly As Wild Turkey Dodges Cops In Slapstick Apartment Chase,WEIRD NEWS,One officer used a net in an attempt to nab the turkey as it shuffled around an apartment on Friday.,Ben Blanchet,11/8/2022
https://www.huffpost.com/entry/steve-martin-retirement-hints_n_62f49db3e4b0526eaee7b22b,Steve Martin Says ‘Only Murders In The Building’ Could Be His Final Role,ENTERTAINMENT,The legendary comedian and actor's latest TV show is up for multiple Emmys this year.,Ben Blanchet,11/8/2022
https://www.huffpost.com/entry/united-states-missing-girl-new-hampshire_n_62f55349e4b045e6f6abcc27,Officials: NH Missing Girl Case Shifts To Homicide Probe,CRIME,Authorities say the search for a New Hampshire girl who disappeared at age 5 in 2019 but was not reported missing until late last year is now considered a homicide investigation.,"Holly Ramer, AP",11/8/2022
https://www.huffpost.com/entry/us-unemployment-claims-rise_n_62f506ace4b045e6f6ab402c,U.S. Unemployment Claims Rise To Highest Level Since November,U.S. NEWS,"Applications for jobless aid climbed by 14,000 to 262,000 and now have risen five out of the last six weeks, the Labor Department reported.","Paul Wiseman, AP",11/8/2022
https://www.huffpost.com/entry/gas-prices-dip-just-below-4_n_62f4bcd0e4b0da517ef5bbec,Gas Prices Dip Just Below $4 For The First Time In 5 Months,U.S. NEWS,"Falling prices for gas, airline tickets and clothes are giving consumers a bit of relief, although inflation is still close to a four-decade high.",,11/8/2022
https://www.huffpost.com/entry/carolyn-maloney-jerry-nadler-biden-2024_n_62f381ede4b001e175d911cc,"As Joe Biden Wins Mount, 2024 Doubts Ease For Top House Dems",POLITICS,Two veteran New York Democrats previously dodged a question on whether the president should run for reelection.,Marita Vlachou,10/8/2022
https://www.huffpost.com/entry/fx-justified-set-incendiary-device_n_62f33cf5e4b0db71d8cd4350,FX's 'Justified' Set Faces Violent Interruption For Second Time In 3 Weeks,ENTERTAINMENT,Chicago Police said a person threw an “incendiary device” toward the set in the city’s South Loop neighborhood.,Ben Blanchet,10/8/2022
https://www.huffpost.com/entry/ex-twitter-staffer-charged-saudi-arabia_n_62f3a8cee4b0acf9d003b368,Ex-Twitter Staffer Convicted For Sharing Private Information On Dissidents With Saudis,U.S. NEWS,Ahmad Abouammo received cash payments and gifts in return for providing information to the Saudis about accounts that were critical of the kingdom.,Marita Vlachou,10/8/2022
https://www.huffpost.com/entry/stranded-whale-out-of-seine-river-to-be-moved-to-saltwater_n_62f37113e4b0acf9d0033e8e,Stranded Whale Euthanized After Removal From French River,WORLD NEWS,"A veterinarian said that during the rescue operation, the dangerously thin white mammal began to have breathing difficulties.",,10/8/2022
https://www.huffpost.com/entry/united-states-sesame-place-training_n_62f41d20e4b045e6f6aa47eb,Sesame Place To Train Workers On Diversity After Lawsuit,U.S. NEWS,A Sesame Street-themed park has announced the implementation of diversity and inclusion training for its employees.,,10/8/2022
https://www.huffpost.com/entry/kobe-bryant-crash-photos-lawsuit_n_62f3ad8de4b0acf9d003ba5b,Kobe Bryant Crash Photos Lawsuit To Be Heard By LA Jury,U.S. NEWS,"Vanessa Bryant ""lives in fear that she or her children will one day confront horrific images of their loved ones online,"" the lawsuit says.",,10/8/2022
https://www.huffpost.com/entry/justice-department-cant-say-more-about-mar-a-lago-raid_n_62f2a8ebe4b0f9d8c0213b04,Why The Justice Department Can’t Say More About The Mar-A-Lago Raid,POLITICS,And why Donald Trump can.,Kevin Robillard,9/8/2022
https://www.huffpost.com/entry/giuliani-not-testifying-atlanta-trump-election-interference_n_62f25cb4e4b0133dd5b30763,Lawyer: Rudy Giuliani Won’t Testify Tuesday In Georgia Election Probe,POLITICS,The special grand jury in Atlanta is investigating whether former President Donald Trump and others illegally tried to interfere in the 2020 general election in the state.,,9/8/2022
https://www.huffpost.com/entry/idris-elba-on-jay-z-american-gangster_n_62f25360e4b0db71d8cc34e2,Idris Elba Reveals How He 'Hustled' His Way Onto Jay-Z's 'American Gangster' Album,ENTERTAINMENT,"The ""American Gangster"" actor told Jimmy Fallon he wrote Jay-Z a poem that ended up on the film's companion album.",Marco Margaritoff,9/8/2022
https://www.huffpost.com/entry/judge-liv-golf-saudi-pga-tour_n_62f2e9dae4b0acf9d002c583,Judge: 3 Players Who Joined Saudi-Backed Golf Tour Can't Compete In PGA Postseason,SPORTS,Three suspended golfers who joined LIV Golf won't be allowed to compete in the PGA Tour's postseason.,"Janie McCauley, AP",9/8/2022
https://www.huffpost.com/entry/nfl-owners-denver-broncos_n_62f2b71fe4b0133dd5b3a77d,Broncos Make History After Being Sold For Record $4.65 Billion,SPORTS,The record $4.65 billion sale of the Denver Broncos to Walmart heir Rob Walton and his daughter and son-in-law has been unanimously approved by NFL owners.,"Dave Campbell, AP",9/8/2022
https://www.huffpost.com/entry/bc-us-narcotics-anonymous-shooting_n_62f2955ce4b0db71d8ccb4e9,3 Dead In Shooting At Florida Narcotics Anonymous Meeting,U.S. NEWS,"A man went into the meeting and killed his ex-girlfriend and her friend before shooting himself, police say.",,9/8/2022
https://www.huffpost.com/entry/trump-said-wounded-vets-in-military-parades-didnt-look-good-for-him-book_n_62f12ab8e4b0da5ec0f69062,Trump Said Wounded Veterans In Military Parades Didn’t 'Look Good' For Him: Book,POLITICS,"“Those are the heroes,” John Kelly reportedly responded to Trump in the new book “The Divider” by journalists Peter Baker and Susan B. Glasser.",Elyse Wanshel,8/8/2022
https://www.huffpost.com/entry/lindsey-graham-marilyn-hassan_n_62f0dc75e4b0ecfe3f722a5e,Lindsey Graham Scolded For Senate Outburst At Maggie Hassan,POLITICS,Graham directly insulted Hassan and presiding officer Chris Murphy (D-Conn.) stepped in.,Ron Dicker,8/8/2022
https://www.huffpost.com/entry/albuquerque-volkswagen-suspect-muslim-shootings_n_62f150bde4b0da5ec0f6c579,Albuquerque Police Share Photo Of Car Eyed In Slayings Of Muslim Men,CRIME,Authorities have said that all four of the killings have several things in common and that they are looking to see if any other crimes could be related.,Nina Golgowski,8/8/2022
https://www.huffpost.com/entry/bernie-sanders-child-tax-credit_n_62f14258e4b00f4cf23c8345,"‘Come On, Bernie!’ Why Democrats Left Child Tax Credit Out Of The Inflation Reduction Act",POLITICS,The only hope for restoring the child benefit appears to be bipartisan negotiations with Sen. Mitt Romney (R-Utah).,Arthur Delaney,8/8/2022
https://www.huffpost.com/entry/how-to-hide-tan-lines_l_62e7edc2e4b09d14dc450969,"How To Hide Even The Worst Tan Lines, According To Makeup Pros",STYLE & BEAUTY,"Quick solutions to fix your farmer’s tan, from body makeup to self tanner.",Julie Kendrick,8/8/2022
https://www.huffpost.com/entry/57-votes-in-the-senate-private-equity-diabetics_n_62f14d26e4b09d09a2c60edb,"57 Votes in the Senate: Enough For Private Equity, Not Enough For Diabetics",POLITICS,The latest example of how Senate rules help the powerful.,Kevin Robillard,8/8/2022
https://www.huffpost.com/entry/brad-pitts-bullet-train-pulls-into-station-with-301m_n_62f00489e4b0c550161b18c5,Brad Pitt’s ‘Bullet Train’ Pulls Into Station With $30.1M,ENTERTAINMENT,The stylized action romp starring Brad Pitt arrived with a $30.1 million opening weekend.,"Jake Coyle, AP",7/8/2022
https://www.huffpost.com/entry/ezra-miller-controversies-the-flash_n_62ef5649e4b09fecea4ead75,'The Flash' Movie Still Set For Release Despite Ezra Miller's Controversies,ENTERTAINMENT,"Warner Bros. Discovery CEO David Zaslav recently teased the film's upcoming release, in spite of Miller's arrests and various allegations against the star.",Ben Blanchet,7/8/2022
https://www.huffpost.com/entry/biden-response-muslim-shootings-new-mexico_n_62f016bae4b0c550161b1f9b,Biden Expresses Solidarity With Muslim Community After Albuquerque Killings,POLITICS,"President Joe Biden’s response comes two days after a fourth Muslim man was found dead in what New Mexico's governor called a ""targeted"" attack.",Nina Golgowski,7/8/2022
